Title,Date,Genre,My_Rating,Temp_C,Weather
Friends: Saison 1: Épisode 1,06/02/2024,Comedy,7,8,Cloudy
Black Mirror: Saison 1: Épisode 1,06/02/2024,Sci-Fi,7,8,Cloudy
Black Mirror: Saison 1: Épisode 2,06/02/2024,Sci-Fi,10,8,Cloudy
Black Mirror: Saison 1: Épisode 3,06/02/2024,Sci-Fi,10,8,Cloudy
Black Mirror: Saison 1: Épisode 4,06/02/2024,Sci-Fi,9,8,Cloudy
Black Mirror: Saison 1: Épisode 5,06/02/2024,Sci-Fi,10,8,Cloudy
Inception,07/02/2024,Sci-Fi,10,4,Rainy
Black Mirror: Saison 3: Épisode 1,09/02/2024,Sci-Fi,10,4,Cloudy
Black Mirror: Saison 2: Épisode 5,09/02/2024,Sci-Fi,8,4,Cloudy
Black Mirror: Saison 2: Épisode 4,09/02/2024,Sci-Fi,10,4,Cloudy
Black Mirror: Saison 2: Épisode 2,09/02/2024,Sci-Fi,10,4,Cloudy
Black Mirror: Saison 2: Épisode 1,09/02/2024,Sci-Fi,9,4,Cloudy
Black Mirror: Saison 2: Épisode 3,09/02/2024,Sci-Fi,9,4,Cloudy
Rebel Moon,10/02/2024,Sci-Fi,4,7,Rainy
The Emoji Movie,10/02/2024,Animation,1,7,Rainy
Black Mirror: Saison 3: Épisode 2,10/02/2024,Sci-Fi,10,7,Rainy
Black Mirror: Saison 3: Épisode 3,10/02/2024,Sci-Fi,9,7,Rainy
Black Mirror: Saison 3: Épisode 4,10/02/2024,Sci-Fi,10,7,Rainy
Joker,10/02/2024,Drama,9,7,Rainy
Black Mirror: Saison 4: Épisode 3,11/02/2024,Sci-Fi,10,2,Cloudy
Black Mirror: Saison 4: Épisode 5,11/02/2024,Sci-Fi,9,2,Cloudy
Black Mirror: Saison 4: Épisode 2,11/02/2024,Sci-Fi,8,2,Cloudy
Black Mirror: Saison 4: Épisode 4,11/02/2024,Sci-Fi,8,2,Cloudy
Black Mirror: Saison 4: Épisode 1,11/02/2024,Sci-Fi,9,2,Cloudy
Murder Mystery,11/02/2024,Comedy,4,2,Cloudy
Black Mirror: Saison 3: Épisode 5,11/02/2024,Sci-Fi,10,2,Cloudy
The Office (U.S.): Saison 1: Épisode 1,12/02/2024,Comedy,9,1,Rainy
Bright,12/02/2024,Fantasy,4,1,Rainy
Black Mirror: Saison 5: Épisode 1,12/02/2024,Sci-Fi,10,1,Rainy
Black Mirror: Saison 5: Épisode 2,12/02/2024,Sci-Fi,9,1,Rainy
Black Mirror: Saison 5: Épisode 3,12/02/2024,Sci-Fi,7,1,Rainy
The Office (U.S.): Saison 1: Épisode 2,14/02/2024,Comedy,7,1,Sunny
Black Mirror: Saison 6: Épisode 1,15/02/2024,Sci-Fi,7,8,Sunny
Project Power,15/02/2024,Action,7,8,Sunny
The Old Guard,15/02/2024,Action,8,8,Sunny
Black Mirror: Saison 5: Épisode 4,15/02/2024,Sci-Fi,7,8,Sunny
Black Mirror: Saison 5: Épisode 5,15/02/2024,Sci-Fi,7,8,Sunny
Black Mirror: Saison 6: Épisode 2,16/02/2024,Sci-Fi,8,4,Cloudy
Black Mirror: Saison 6: Épisode 3,16/02/2024,Sci-Fi,10,4,Cloudy
Spirited Away,16/02/2024,Anime,8,4,Cloudy
Black Mirror: Saison 6: Épisode 4,17/02/2024,Sci-Fi,10,1,Cloudy
Black Mirror: Saison 6: Épisode 5,17/02/2024,Sci-Fi,10,1,Cloudy
Squid Game: Saison 1: Épisode 1,17/02/2024,Thriller,8,1,Cloudy
Squid Game: Saison 1: Épisode 2,17/02/2024,Thriller,6,1,Cloudy
Madame Web,17/02/2024,Action,2,1,Cloudy
Spider-Man: Across the Spider-Verse,17/02/2024,Animation,10,1,Cloudy
Squid Game: Saison 1: Épisode 3,17/02/2024,Thriller,8,1,Cloudy
The Gray Man,17/02/2024,Action,6,1,Cloudy
Red Notice,18/02/2024,Action,3,7,Cloudy
Squid Game: Saison 1: Épisode 6,18/02/2024,Thriller,6,7,Cloudy
Squid Game: Saison 1: Épisode 7,18/02/2024,Thriller,9,7,Cloudy
Squid Game: Saison 1: Épisode 4,18/02/2024,Thriller,7,7,Cloudy
Tall Girl,18/02/2024,Comedy,2,7,Cloudy
Squid Game: Saison 1: Épisode 5,18/02/2024,Thriller,7,7,Cloudy
Brooklyn Nine-Nine: Saison 1: Épisode 1,19/02/2024,Comedy,6,2,Sunny
Squid Game: Saison 1: Épisode 8,19/02/2024,Thriller,6,2,Sunny
Squid Game: Saison 1: Épisode 9,19/02/2024,Thriller,9,2,Sunny
Dune: Part One,19/02/2024,Sci-Fi,8,2,Sunny
Breaking Bad: Saison 1: Épisode 1,19/02/2024,Crime,10,2,Sunny
Brooklyn Nine-Nine: Saison 1: Épisode 2,20/02/2024,Comedy,8,5,Cloudy
Brooklyn Nine-Nine: Saison 1: Épisode 3,21/02/2024,Comedy,7,3,Sunny
Breaking Bad: Saison 1: Épisode 2,21/02/2024,Crime,10,3,Sunny
Breaking Bad: Saison 1: Épisode 3,21/02/2024,Crime,10,3,Sunny
Breaking Bad: Saison 1: Épisode 4,21/02/2024,Crime,10,3,Sunny
Enola Holmes 2,21/02/2024,Mystery,8,3,Sunny
Brooklyn Nine-Nine: Saison 1: Épisode 4,22/02/2024,Comedy,9,1,Cloudy
Don't Look Up,23/02/2024,Comedy,9,3,Cloudy
